Rank,Team,W,L,AdjOffEff,AdjDefEff,Total
323,ARKANSAS PINE BLUFF,5,13,1.0168043937942493,1.1521553207260915,-0.13535092693184225
324,MAINE,4,17,0.9296365495580232,1.0657975215807893,-0.1361609720227661
325,TEXAS SOUTHERN,4,13,1.0230170254388178,1.1599520895023427,-0.13693506406352496
326,ORAL ROBERTS,2,18,0.9965530561720736,1.1344089982231762,-0.13785594205110263
327,PRAIRIE VIEW,4,13,1.0033575119416762,1.1417462775782978,-0.1383887656366216
328,STETSON,6,14,1.0074174845916273,1.1460413356201196,-0.13862385102849228
329,STONEHILL,6,14,0.9387746606754439,1.07753784154611,-0.1387631808706662
330,NEW HAVEN,6,11,0.9634528459043504,1.1024055684986163,-0.13895272259426583
331,NORTHERN ILLINOIS,4,13,0.9881506778025109,1.127595215959,-0.13944453815648905
332,IUPUI,4,17,1.037729550711161,1.1792707642159632,-0.1415412135048022
333,TENNESSEE TECH,4,14,0.9930417522132845,1.1351327078023623,-0.1420909555890778
334,ARMY,7,13,1.0281076463768546,1.1709402326876157,-0.14283258631076112
335,FAIRLEIGH DICKINSON,4,15,1.0003582046170545,1.1447635627125754,-0.1444053580955209
336,MANHATTAN,8,14,1.0393542042580106,1.1846455426704312,-0.1452913384124206
337,NJIT,9,12,0.9755656458498883,1.1213120479693766,-0.1457464021194883
338,NORTH ALABAMA,4,13,1.0005650970628417,1.1471625452472551,-0.14659744818441345
339,LOYOLA IL,5,18,1.0170682695444797,1.1646622608807982,-0.14759399133631845
340,LOUISIANA LAFAYETTE,6,16,0.964608091049496,1.1129224761494885,-0.1483143850999925
341,BUCKNELL,6,16,0.9715844122216188,1.1233037473396652,-0.15171933511804636
342,NIAGARA,4,16,0.9909566050278716,1.1462273760766104,-0.15527077104873876
343,NORTH FLORIDA,3,17,1.064435442519165,1.2202171100465626,-0.15578166752739753
344,MISSOURI KANSAS CITY,1,17,0.9726471577408992,1.1310997318797114,-0.1584525741388122
345,CANISIUS,7,14,0.962279882577847,1.1268470831953832,-0.16456720061753616
346,NORTH CAROLINA CENTRAL,3,12,0.995424634132207,1.1641659629724042,-0.1687413288401971
347,AIR FORCE,3,17,0.9531332739507297,1.126026813043746,-0.1728935390930164
348,CITADEL,4,15,0.9967440291043922,1.1792153568107842,-0.18247132770639196
349,BRYANT,4,15,0.934860180660691,1.1186157269592174,-0.18375554629852642
350,SAINT FRANCIS PA,4,14,0.9764512360465488,1.1634966419650494,-0.1870454059185006
351,CHICAGO STATE,1,19,0.9602039296114315,1.152229807849456,-0.19202587823802442
352,LOUISIANA MONROE,1,19,0.9706667658989071,1.170933761861869,-0.20026699596296182
353,WESTERN ILLINOIS,1,18,0.957463541565263,1.1598327607262298,-0.20236921916096673
354,VIRGINIA MILITARY INSTITUTE,3,16,0.979743765302545,1.182362549834841,-0.20261878453229587
355,TEXAS SAN ANTONIO,2,17,0.9427241962194639,1.1471879342946152,-0.20446373807515128
356,RIDER,1,18,0.9535222212349257,1.1585754654182145,-0.20505324418328885
357,ALCORN STATE,3,15,0.9610526055232151,1.1707647294189802,-0.2097121238957651
358,JACKSON STATE,6,14,0.9573924015335827,1.1680839181771723,-0.21069151664358954
359,BINGHAMTON,2,18,0.9661038610309001,1.1768275615765413,-0.21072370054564127
360,DELAWARE STATE,2,14,0.8974849652169994,1.1120960402095164,-0.21461107499251697
361,MORGAN STATE,5,13,0.9659390170166041,1.1891053654052828,-0.22316634838867866
362,SOUTH CAROLINA STATE,3,16,0.9488654346208792,1.1873408428398229,-0.23847540821894364
363,GARDNER WEBB,1,19,0.9368588786923284,1.2058419652269285,-0.2689830865346001
364,COPPIN STATE,2,19,0.9271444817301292,1.221609150841652,-0.2944646691115228
365,MISSISSIPPI VALLEY STATE,0,20,0.8846877127274494,1.2045639970998243,-0.3198762843723749
