Rank,Team,W,L,AdjOffEff,AdjDefEff,Total
31,KENTUCKY,14,7,1.1720598718304325,0.991819157448413,0.1802407143820195
32,CLEMSON,17,4,1.156108454081674,0.9787551638099022,0.1773532902717717
33,VILLANOVA,16,5,1.1794545018308253,1.0053375977323538,0.17411690409847158
34,AUBURN,13,7,1.2038023133141245,1.0340281681295684,0.16977414518455602
35,TEXAS,11,9,1.2072308570954948,1.0389036009991188,0.168327256096376
36,SOUTHERN METHODIST,15,5,1.1892887956412708,1.0233442568407014,0.16594453880056936
37,MIAMI FL,17,4,1.1597367816255817,1.0018072904442454,0.15792949118133626
38,OHIO STATE,14,6,1.187624503838623,1.0340426581948199,0.15358184564380317
39,NEW MEXICO,16,4,1.1331539876300099,0.9863376059063306,0.14681638172367928
40,UCLA,15,6,1.1573352185528554,1.0109964123280488,0.14633880622480655
41,TEXAS AM,16,4,1.1714578800183495,1.0287198688236119,0.1427380111947376
42,VIRGINIA COMMONWEALTH,16,6,1.1806409465902032,1.0425902674544156,0.1380506791357876
43,TULSA,16,3,1.2090610237492143,1.0710271384285854,0.13803388532062888
44,YALE,14,3,1.212883781543219,1.0765158172330085,0.13636796431021048
45,SANTA CLARA,17,5,1.1594560993791834,1.0270660117568127,0.1323900876223707
46,AKRON,16,4,1.1938550827345829,1.0618359707886835,0.13201911194589933
47,TEXAS CHRISTIAN,13,8,1.1200871279702445,0.9884469436067734,0.13164018436347102
48,SAN DIEGO STATE,14,5,1.1179170216798877,0.9879106682154941,0.1300063534643936
49,BELMONT,18,3,1.1584049273526642,1.0301448497513417,0.12826007760132252
50,MCNEESE STATE,15,4,1.1615705448844202,1.0341569298397384,0.12741361504468185
51,LOUISIANA STATE,13,8,1.1797653874092626,1.0529059453398726,0.12685944206939004
52,WISCONSIN,15,6,1.1664830696319717,1.0407098042170522,0.1257732654149195
53,WASHINGTON,11,10,1.1335686633365119,1.0100654354039509,0.12350322793256097
